pʰi	calf (of leg)
kʰu	chin
wat	angry (hear is bursting)
lwe	forget
ði	water
rɐŋ	alive/be living
kʰu	bitter
si	buffalo
rɐt	heavy
va	grandmother
kʰuk	knee
ʃit	eight
tʰɐ	bile
ŋum	round
we	mother
rɐ	medicine
nam	deceive
sɐ	comb
vu	uncle (mothers brother)
ðɐ	grandchild
ki	bite (v.)
si	tempt
ʃe	brain
tʰe	awaken
kʰi	bee
tʰok	fast/quick
li	buffalo
wu	bird (general)
kop	shoot (v.)
nɐ	seven
kon	cross
tsɐ	fear/frighten
lu	daughter
vu	father-in-law
tsɐ	four
tʰak	kick
kop	shoot
ʃap	able
tu	far
kɐ	nine
rɐk	throat
fak	pig
ðar	aunt (mother's younger sister)
kʰɐ	scratch/scrape
ja	look at
hur	fan onself
kʰu	cough
li	squirrel
tɐŋ	marrow
ham	pot
lɐt	self
pi	blind
ta	pine
vu	great grandfather
tʰɐk	lung/chest
tʰeŋ	dry
tsɐ	moon
pʰi	foot
ʃim	mortar
con	help
lu	ash/cinder
sam	hair (head)
ko	thin
kwe	break
ʔa	antler (of deer)
cir	saliva
tʰur	sour
ʃa	clan
fu	elephant
pwe	easy
vu	grandfather
car	white
jap	hit/strike
tʰuk	deep
le	field
tʰar	new
kup	finish
ʃim	sweet
ki	bite
ruk	six
ʃut	brush (teeth)
ŋun	corpse/dead body
ðo	bracelet
ʃuŋ	arrive
ði	big
nɐ	mother-in-law
him	Tibetan/Himalayan bear (Selenarctos thibetanus)
tʰum	hide
pʰi	leg
ðak	weave
kʰum	back
ji	leftside
ðej	ant
ʃi	decay
jak	ashamed
mi	tail (of animal)
pʰu	seek/search
pʰɐn	belly/abdomen (external bulge)
hwi	dog
ðu	eat (rice; v.)
sɐ	scoop out
ðot	rice (cooked)
tʰa	resemble/be like
nɐŋ	stand
som	rice (hulled)
com	be hungry
ma	dream
ʃe	produce/emerge
ʃuk	borrow
aw	father
naŋ	spin
mɐ	give
rɐ	intestines/bowels
kʰur	cave
hwi	dog (Canis familiaris)
rop	rib
lɐ	buy
se	thorn
kʰwe	fish
li	exist/be
nɐ	two
lɐ	steal
tɕe	burn
tɐk	pound/crush
kʰut	smoke
pʰi	calf
wuk	stomach
kwe	horse
nɐ	ear
ða	fall
pi	leech
ða	enter
ŋɐ	five
ʃam	chase
tʰo	drive
ki	kidney
kʰə	laugh
rɐ	bone
su	body
veŋ	light (weight)
kʰi	crooked
tʰi	fruit (general)
sam	hair of head
tek	green
kʰu	jaw (general)
fu	axe
hu	young (of animal)/calf/foal
rɐk	rat
kʰak	breath
ðɐk	black
pwe	fly
vɐn	flower
nɐ	breast
ʔa	medicine
tsɐ	horn
mwe	face
rɐ	iron
ki	chew (v.)
hɐ	carry on shoulders
sɐ	one
nap	Flick the snot (from your nose)ǃ
rɐk	louse
ʃwe	eat (general; v.)
ju	accept
tʰum	three
su	do
fu	bamboo
tsa	grass
ʔa	pig
kʰok	basket
si	young (of animal)/calf/foal
him	bear
pam	sit
jip	sleep/ be asleep
ði	egg (of animal)
nur	fight with
luŋ	heart
rɐŋ	alive
kwi	twenty
hi	uncle (mothers brother)
re	roast
cap	cry/weep (v.)
ðar	uncle (mothers older sisters husband)
tʰar	clean
kʰu	crab
mok	brother-in-law of male (younger)
te	uncle (fathers younger brother)
ce	dig
lu	arrow
ce	lip
su	flesh/meat
aw	paternal uncle (elder)
so	long
tʰi	see/know
kʰaw	shoulder bag
ðar	oldest sister
ðɐŋ	sky
pʰor	lung
lek	lick (v.)
ðar	uncle (fathers older brother)
kʰam	door
ʃa	husband
we	molar
ðar	sister (oldest)
kʰur	anus
sam	run/flee
ju	left hand
ʃe	emerge
har	chicken/fowl (general term)
ru	untie
fu	tooth
muk	cattle
nɐ	hear (v.)
ru	ten
nɐ	leaf
fɐt	ashes
nap	stick (v.)
te	words/speech
nɐŋ	thou
luŋ	stone
ðar	paternal uncle (elder)
vu	paternal grandfather
ðu	be sick/be ill/hurt
pʰi	calf (of leg)
nim	damp
kʰaw	shoulder-bag
ku	climb/ascend
lum	warm
kʰɐ	insect
ce	burn off fields/slash and burn
u	bird
cu	necklace
ram	village
mor	mouth
sɐ	die
ham	yawn (v.)
pot	soft
pim	needle
tsɐ	salt
hon	expect
kʰwe	knife
kɐ	bark
ʔi	I
ʃim	house
rɐ	intestines
sor	old
nak	fine
tɐt	cut (vegetables)
mi	sister of female (elder)
ðar	aunt (father's older sister)
pʰi	wash
ʔu	he/she
mɐt	squeeze
wor	sell
li	earth
ði	spear
kɐ	bark (of tree)
ði	egg
ʃa	cook
tsɐ	horn (of animal)
pʰo	branch
va	paternal grandmother
ðu	sharpen
mɐŋ	name
hɐn	curry
pu	buttocks
pʰɐn	blow (mouth)
pon	hand
pi	finish/be complete
rɐ	wait
ke	head
sɐ	die/be dead
tʰo	fat
nwe	twist/knead
nɐŋ	think
co	deer
jip	sleep/lie down
ʃuŋ	correct
le	navel
kʰur	cave/hole (in rock)
ʃu	dove/pigeon (general term)
pʰwi	snake
rɐ	son-in-law
ðar	aunt (father's older brothers wife)
fu	body hair
sɐ	blood
nɐ	nose
ðar	paternal aunt (elder)
mɐn	ripe/well-cooked
hi	wither
cir	spit (v.)
wuk	belly
kʰɐ	insect/bug/vermin
kʰip	sew
ðar	sister (younger than male ego)
pi	leech (land)
ke	cold
kʰwe	fish (general)
mɐk	eye
lo	shadow
tuŋ	descend
kʰə	burn/be on fire (v.i.)
ju	palm
ri	toast/cook from the side
si	tie
nam	smell
ʃu	hundred
ðar	older maternal aunt's husband
ðɐŋ	pound/crush
hɐ	call
nam	basket strap
roŋ	slingshot
mwe	want/desire
cuŋ	(be) many
pwe	defecate (v.)
ðɐk	burn/be on fire (v.i.)
ron	spider
a	come
pʰuŋ	mountain
kʰə	heavy
kʰur	anus/rectum
ri	crab
kʰə	be sick/be ill/hurt
nwe	near
kʰok	basket (head-basket)
ca	be thirsty
tʰɐŋ	bark (of tree)
ʃu	dove
ʃur	follow
kum	year
pu	brother of female (younger)
mi	brother-in-law of female (older)
no	child
tʰi	exchange
ma	drink (v.)
hor	mushroom
tʰɐn	liver
tʰeŋ	be dry
ni	laugh
lɐk	armpit
wa	rightside
mi	more than (comparative degree)
pi	leech (water)
reŋ	hunt
wu	go
lɐŋ	root
nɐŋ	sister-in-law (of female ego)
tʰɐt	kill
ðar	wife of older paternal uncle
li	tongue
rum	add together
mɐ	person
ce	tall
tɕe	burn down
we	eat (fruit)
sun	joint
tɕap	weep
mi	fire
ðu	eat (rice)
pon	arm
ðu	young (of animal)/calf/foal
hivu	uncle (fathers sisters husband)
ða	fall (from a height)
kwe	pestle
ʃu	thick
